PXD012350	30735346	Peptidoglycan Metabolite Photoaffinity Reporters Reveal Direct Binding to Intracellular Pattern Recognition Receptors and Arf GTPases. 	Peptidoglycan metabolite photoaffinity reporters reveal direct binding to intracellular pattern recognition receptors and Arf GTPases	HEK293T, MDP, NOD2, gel-based proteomics	The peptidoglycan fragments gamma-d-glutamyl- meso-diaminopimelic acid (iE-DAP) and muramyl-dipeptide (MDP) are microbial-specific metabolites that activate intracellular pattern recognition receptors and stimulate immune signaling pathways. While extensive structure-activity studies have demonstrated that these bacterial cell wall metabolites trigger NOD1- and NOD2-dependent signaling, their direct binding to these innate immune receptors or other proteins in mammalian cells has not been established. To characterize these fundamental microbial metabolite-host interactions, we synthesized a series of peptidoglycan metabolite photoaffinity reporters and evaluated their cross-linking to NOD1 and NOD2 in mammalian cells. We show that active iE-DAP and MDP photoaffinity reporters selectively cross-linked NOD1 and NOD2, respectively, and not their inactive mutants. We also discovered MDP reporter cross-linking to Arf GTPases, which interacted most prominently with GTP-bound Arf6 and coimmunoprecipitated with NOD2 upon MDP stimulation. Notably, MDP binding to NOD2 and Arf6 was abrogated with loss-of-function NOD2 mutants associated with Crohn's disease. Our studies demonstrate peptidoglycan metabolite photoaffinity reporters can capture their cognate immune receptors in cells and reveal unpredicted ligand-induced interactions with other cellular cofactors. These photoaffinity reporters should afford useful tools to discover and characterize other peptidoglycan metabolite-interacting proteins.
PXD012191	30736283	Phosphorylation-Dependent Intra-Domain Interaction of the Cx37 Carboxyl-Terminus Controls Cell Survival. 	Cx37 Phosphorylation and cell cycle regulation	Growth arrest, cell death, differential phosphorylation, gap junction, proliferation	Differential phosphorylation of the carboxyl-terminus of connexin 37 (Cx37-CT) regulates phenotypic switching between cell growth phenotypes (cell death, cell cycle arrest, proliferation). The specific phosphorylation events in the Cx37-CT that are necessary for these growth regulatory effects are currently unknown. Through the combined use of deletion and site specific (de)phospho-mimetic Cx37-CT mutants, our data suggest a phosphorylation-dependent interaction between the mid-tail (aa 273-317) and end-tail (aa 318-333) portions of the Cx37-CT that regulates cell survival. As detected by mass spectrometry, Cx37 was phosphorylated at serines 275, 321, and 328; phosphomimetic mutations of these sites resulted in cell death when expressed in rat insulinoma cells. Alanine substitution at S328, but not at S275 or S321, also triggered cell death. Cx37-S275D uniquely induced the death of only low density, non-contact forming cells, but neither hemichannel open probability nor channel conductance distinguished death-inducing mutants. As channel function is necessary for cell death, together the data suggest that the phosphorylation state of the Cx37-CT controls an intra-domain interaction within the CT that modifies channel function and induces cell death.
PXD006802	30737169	oxSWATH: An integrative method for a comprehensive redox-centered analysis combined with a generic differential proteomics screening. 	OxSWATH applied to the redox characterization of secretomes under oxidative stress conditions	Cysteine oxidation, DJ-1, Differential Alkylation, Redoxomics, SWATH-MS, Secretome	Most of the redox proteomics strategies are focused on the identification and relative quantification of cysteine oxidation without considering the variation in the total levels of the proteins. However, protein synthesis and protein degradation also belong to the regulatory mechanisms of the cells, being therefore important to consider the changes in total protein levels in PTMs-focused analyses, such as cysteine redox characterization. Therefore, a novel integrative approach combining the SWATH-MS method with differential alkylation using a combination of commonly available alkylating reagents (oxSWATH) is presented, by which it is possible to integrate the information regarding relative cysteine oxidation with the analysis of the total protein levels in a cost-effective high-throughput approach. The proposed method was tested using a redox-regulated protein and further applied to a comparative analysis of secretomes obtained from cells cultured under control or oxidative stress conditions to strengthen the importance of considering the overall proteome changes. Using the OxSWATH method it was possible to determine both the relative proportion of reduced and reversible oxidized oxoforms, as well as the total levels of each oxoform by taking into consideration the total levels of the protein. Therefore, using OxSWATH the comparative analyses can be performed at two different levels by considering the relative proportion or the total levels at both peptide and protein level. Moreover, since samples are acquired in SWATH-MS mode, besides the redox centered analysis, a generic differential protein expression analysis can also be performed, allowing a truly comprehensive evaluation of proteomics changes upon the oxidative stimulus. Data are available via ProteomeXchange and SWATHAtlas with the identifiers PXD006802, PXD006802, and PASS01210.
PXD010281	30737390	Chaperone activation and client binding of a 2-cysteine peroxiredoxin. 	Chaperone Activation and Client Binding of a 2-Cysteine Peroxiredoxin	chaperone activation, chaperone-client complex, cross-linking	Many 2-Cys-peroxiredoxins (2-Cys-Prxs) are dual-function proteins, either acting as peroxidases under non-stress conditions or as chaperones during stress. The mechanism by which 2-Cys-Prxs switch functions remains to be defined. Our work focuses on Leishmania infantum mitochondrial 2-Cys-Prx, whose reduced, decameric subpopulation adopts chaperone function during heat shock, an activity that facilitates the transition from insects to warm-blooded host environments. Here, we have solved the cryo-EM structure of mTXNPx in complex with a thermally unfolded client protein, and revealed that the flexible N-termini of mTXNPx form a well-resolved central belt that contacts and encapsulates the unstructured client protein in the center of the decamer ring. In vivo and in vitro cross-linking studies provide further support for these interactions, and demonstrate that mTXNPx decamers undergo temperature-dependent structural rearrangements specifically at the dimer-dimer interfaces. These structural changes appear crucial for exposing chaperone-client binding sites that are buried in the peroxidase-active protein.
PXD009189	30737405	A network of chaperones prevents and detects failures in membrane protein lipid bilayer integration. 	A network of chaperones prevents and detects failures in membrane protein lipid bilayer integration	Connexin, ER membrane complex, chaperone, endoplasmic reticulum, membrane protein, protein degradation, protein folding, protein quality control, topology	A fundamental step in membrane protein biogenesis is their integration into the lipid bilayer with a defined orientation of each transmembrane segment. Despite this, it remains unclear how cells detect and handle failures in this process. Here we show that single point mutations in the membrane protein connexin 32 (Cx32), which cause Charcot-Marie-Tooth disease, can cause failures in membrane integration. This leads to Cx32 transport defects and rapid degradation. Our data show that multiple chaperones detect and remedy this aberrant behavior: the ER-membrane complex (EMC) aids in membrane integration of low-hydrophobicity transmembrane segments. If they fail to integrate, these are recognized by the ER-lumenal chaperone BiP. Ultimately, the E3 ligase gp78 ubiquitinates Cx32 proteins, targeting them for degradation. Thus, cells use a coordinated system of chaperones for the complex task of membrane protein biogenesis, which can be compromised by single point mutations, causing human disease.
PXD004865	30739015	Deacetylation Inhibition Reverses PABPN1-Dependent Muscle Wasting. 	Pabpn1-driven cytoskeletal rearrangement induces muscle wasting	Csrp3, LFQ, Murc, Pabpn1, Pfn1, Progenesis	Reduced poly(A)-binding protein nuclear 1 (PABPN1) levels cause aging-associated muscle wasting. PABPN1 is a multifunctional regulator of mRNA processing. To elucidate the molecular mechanisms causing PABPN1-mediated muscle wasting, we compared the transcriptome with the proteome in mouse muscles expressing short hairpin RNA to PABPN1 (shPab). We found greater variations in the proteome than in mRNA expression profiles. Protein accumulation in the shPab proteome was concomitant with reduced proteasomal activity. Notably, protein acetylation appeared to be decreased in shPab versus control proteomes (63%). Acetylome profiling in shPab muscles revealed prominent peptide deacetylation associated with elevated sirtuin-1 (SIRT1) deacetylase. We show that SIRT1 mRNA levels are controlled by PABPN1 via alternative polyadenylation site utilization. Most importantly, SIRT1 deacetylase inhibition by sirtinol increased PABPN1 levels and reversed muscle wasting. We suggest that perturbation of a multifactorial regulatory loop involving PABPN1 and SIRT1 plays an imperative role in aging-associated muscle wasting. VIDEO ABSTRACT.
PXD009902	30739529	Proteomic characterization of the arsenic response locus in S. cerevisiae. 	Proteomic Analysis of an Arsenic Response Locus	Arsenic, CRISPR, ChAP-MS	Arsenic exposure is a global health problem. Millions of people encounter arsenic through contaminated drinking water, consumption, and inhalation. The arsenic response locus in budding yeast is responsible for the detoxification of arsenic and its removal from the cell. This locus constitutes a conserved pathway ranging from prokaryotes to higher eukaryotes. The goal of this study was to identify how transcription from the arsenic response locus is regulated in an arsenic dependent manner. An affinity enrichment strategy called CRISPR-Chromatin Affinity Purification with Mass Spectrometry (CRISPR-ChAP-MS) was used, which provides for the proteomic characterization of a targeted locus. CRISPR-ChAP-MS was applied to the promoter regions of the activated arsenic response locus and uncovered 40 nuclear-annotated proteins showing enrichment. Functional assays identified the histone acetyltransferase SAGA and the chromatin remodelling complex SWI/SNF to be required for activation of the locus. Furthermore, SAGA and SWI/SNF were both found to specifically organize the chromatin structure at the arsenic response locus for activation of gene transcription. This study provides the first proteomic characterization of an arsenic response locus and key insight into the mechanisms of transcriptional activation that are necessary for detoxification of arsenic from the cell.
PXD011371	30740091	Binding Specificity of Native Odorant-Binding Protein Isoforms Is Driven by Phosphorylation and O-N-Acetylglucosaminylation in the Pig Sus scrofa. 	binding specificity of Native Odorant-Binding Protein isoforms is driven by phosphorylation and O-N-acetylglucosamiylation in the pig (sus scrofa)	CID-nano-LC-MS/MS, Fluorescence spectroscopy, O-GlcNAc, Odorant-Binding Protein, Pheromone, Phosphorylation	Odorant-binding proteins (OBP) are secreted in the nasal mucus at the vicinity of olfactory receptors (ORs). They act, at least, as an interface between hydrophobic and volatile odorant molecules and the hydrophilic medium bathing the ORs. They have also been hypothesized to be part of the molecular coding of odors and pheromones, by forming specific complexes with odorant molecules that could ultimately stimulate ORs to trigger the olfactory transduction cascade. In a previous study, we have evidenced that pig olfactory secretome was composed of numerous olfactory binding protein isoforms, generated by O-GlcNAcylation and phosphorylation. In addition, we have shown that recombinant OBP (stricto sensu) produced in yeast is made up of a mixture of isoforms that differ in their phosphorylation pattern, which in turn determines binding specificity. Taking advantage of the high amount of OBP secreted by a single animal, we performed a similar study, under exactly the same experimental conditions, on native isoforms isolated from pig, Sus scrofa, nasal tissue. Four fractions were obtained by using strong anion exchange HPLC. Mapping of phosphorylation and O-GlcNAcylation sites by CID-nanoLC-MS/MS allowed unambiguous localization of phosphosites at S13 and T122 and HexNAc sites at S13 and S19. T112 or T115 could also be phosphorylated. BEMAD analysis suggested extra phosphosites located at S23, S24, S41, S49, S57, S67, and T71. Due to the very low stoichiometry of GlcNAc-peptides and phosphopeptides, these sites were identified on total mixture of OBP isoforms instead of HPLC-purified OBP isoforms. Nevertheless, binding properties of native OBP isoforms to specific ligands in S. scrofa were monitored by fluorescence spectroscopy. Recombinant phosphorylated OBP-Pichia isoforms bind steroids and fatty acids with slight differences. Native isoforms, that are phosphorylated but also O-GlcNAcylated show radically different binding affinities for the same compounds, which strongly suggests that O-GlcNAcylation increases the binding specificity of OBP isoforms. These findings extend the role of O-GlcNAc in regulating the function of proteins involved in many mechanisms of metabolic homeostasis, including extracellular signaling in olfaction. Data is available via ProteomeXChange with identifier PXD011371.
PXD009822	30740542	Life history shapes variation in egg composition in the blue tit Cyanistes caeruleus. 	Life history shapes variation in egg composition in a wild passerine	cyanistes caeruleus, differential allocation	Maternal investment directly shapes early developmental conditions and therefore has long-term fitness consequences for the offspring. In oviparous species prenatal maternal investment is fixed at the time of laying. To ensure the best survival chances for most of their offspring, females must equip their eggs with the resources required to perform well under various circumstances, yet the actual mechanisms remain unknown. Here we describe the blue tit egg albumen and yolk proteomes and evaluate their potential to mediate maternal effects. We show that variation in egg composition (proteins, lipids, carotenoids) primarily depends on laying order and female age. Egg proteomic profiles are mainly driven by laying order, and investment in the egg proteome is functionally biased among eggs. Our results suggest that maternal effects on egg composition result from both passive and active (partly compensatory) mechanisms, and that variation in egg composition creates diverse biochemical environments for embryonic development.
PXD012206	30742075	Structure of the complex I-like molecule NDH of oxygenic photosynthesis. 	Structure of NDH the complex I-like molecule of oxygenic photosynthesis	NAD(P)H dehydrogenase-like complex, bioenergetics, cyclic electron flow, electron cryo-microscopy, membrane protein structure, photosynthesis	Cyclic electron flow around photosystem I (PSI) is a mechanism by which photosynthetic organisms balance the levels of ATP and NADPH necessary for efficient photosynthesis(1,2). NAD(P)H dehydrogenase-like complex (NDH) is a key component of this pathway in most oxygenic photosynthetic organisms(3,4) and is the last large photosynthetic membrane-protein complex for which the structure remains unknown. Related to the respiratory NADH dehydrogenase complex (complex I), NDH transfers electrons originating from PSI to the plastoquinone pool while pumping protons across the thylakoid membrane, thereby increasing the amount of ATP produced per NADP(+) molecule reduced(4,5). NDH possesses 11 of the 14 core complex I subunits, as well as several oxygenic-photosynthesis-specific (OPS) subunits that are conserved from cyanobacteria to plants(3,6). However, the three core complex I subunits that are involved in accepting electrons from NAD(P)H are notably absent in NDH(3,5,6), and it is therefore not clear how NDH acquires and transfers electrons to plastoquinone. It is proposed that the OPS subunits-specifically NdhS-enable NDH to accept electrons from its electron donor, ferredoxin(3-5,7). Here we report a 3.1 Aa structure of the 0.42-MDa NDH complex from the thermophilic cyanobacterium Thermosynechococcus elongatus BP-1, obtained by single-particle cryo-electron microscopy. Our maps reveal the structure and arrangement of the principal OPS subunits in the NDH complex, as well as an unexpected cofactor close to the plastoquinone-binding site in the peripheral arm. The location of the OPS subunits supports a role in electron transfer and defines two potential ferredoxin-binding sites at the apex of the peripheral arm. These results suggest that NDH could possess several electron transfer routes, which would serve to maximize plastoquinone reduction and avoid deleterious off-target chemistry of the semi-plastoquinone radical.
